District,Address,Rent_m2,lat,lon,Pre,Elem,Mid,Art_Enter,Recreation,Language,Entern_service
Podilsky,"Kyiv, Andriivskyi descent 2",550.8,50.462261,30.517862,1,4,1,30,3,33,0
Holoseevsky,"Kyiv, Antonovycha 103",454.1,50.423673,30.516659,3,3,2,9,7,23,1
Holoseevsky,"Kyiv, Antonovycha 4/6 ",424.904762,50.43892,30.512462,4,3,5,19,4,77,0
Svatoshinsky,"Kyiv, Bessarabska square 9/1",436.97479,50.44265,30.522994,3,2,5,31,3,71,0
Podilsky,"Kyiv, Borisoglibska 15",620.71,50.463149,30.521558,1,3,1,22,3,25,0
Darnicky,"Kyiv, Chavdar 3",350,50.393878,30.619779,7,4,3,5,7,12,0
Darnicky,"Kyiv, Dniprovska Embarkment 26",500,50.394111,30.613044,7,4,3,3,5,7,0
Podilsky,"Kyiv, Frolivska 1",371.009091,50.462849,30.515927,1,4,1,31,2,30,0
Obolonsky,"Kyiv, Heroiv Stalingrada, 10A",375,50.499972,30.516511,3,3,1,5,3,5,0
Obolonsky,"Kyiv, Heroiv Stalingrada, 8",451.427273,50.497047,30.518771,2,2,1,5,3,2,1
Solomensky,"Kyiv, Hetmana 5",277.777778,50.437032,30.445115,4,2,1,6,5,2,1
Shevchenkivsky,"Kyiv, Honchara 37A",410.526316,50.450977,30.507168,5,6,4,43,3,56,1
Darnicky,"Kyiv, Hryhorenka 20",266.666667,50.410007,30.626258,3,2,6,5,6,10,0
Dniprovsky,"Kyiv, Kharkivske Highway 188",311.111111,50.407044,30.673148,0,1,0,1,2,2,0
Pechersky,"Kyiv, Konovaltsa 36d ",619.652174,50.425254,30.5337,4,2,2,14,7,19,1
Solomensky,"Kyiv, Levanevskoho 7",255.555556,50.441573,30.438848,4,2,3,5,4,10,1
Desnansky,"Kyiv, Marshala Zhukova 33a",98.214286,50.477461,30.636167,3,0,3,6,0,6,0
Dniprovsky,"Kyiv, Miropilska 25",250,50.468884,30.620705,2,1,4,1,3,4,1
Solomensky,"Kyiv, Nizhinska 10",250,50.441163,30.434588,3,2,1,4,5,10,2
Obolonsky,"Kyiv, Novozabarska 2/6",301.485149,50.505603,30.460811,1,1,1,5,4,0,0
Svatoshinsky,"Kyiv, Palladina 20",373.913043,50.461059,30.356947,2,3,4,7,4,4,1
Svatoshinsky,"Kyiv, Peremohy Ave 131A",130.434783,50.454428,30.350865,2,3,4,2,5,3,0
Dniprovsky,"Kyiv, Raisy Okipnoi 10",545.29,50.44782,30.590449,3,4,2,5,6,10,0
Holoseevsky,"Kyiv, Saksaganskogo 36b",348.837209,50.446664,30.494403,3,6,2,19,2,35,1
Pechersky,"Kyiv, Staronavodnytska 6b",533.853846,50.427697,30.546676,1,1,3,9,4,11,0
Shevchenkivsky,"Kyiv, Uritskogo 35",527.361702,50.432031,30.476434,7,4,3,3,7,5,0
Shevchenkivsky,"Kyiv, Voznesenskyi descent, 15",361.344538,50.45695,30.505602,4,6,2,19,4,45,1
