District,Lat,Lon,Rent,Pre,Elem,Mid,Art_Enter,Recreation,Language,Entern_service,
Darnicky,50.406387,30.648453,12000,1,3,4,5,6,15,0,
Desnansky,50.517948,30.604093,7800,4,4,4,5,2,6,0,
Dniprovsky,50.443046,30.62397,9200,2,3,1,3,3,4,0,
Holoseevsky,50.349179,30.550377,13900,0,0,0,0,1,0,0,
Obolonsky,50.557136,30.319664,11500,0,0,0,0,1,0,0,
Pechersky,50.419652,30.548245,23200,4,0,3,5,3,11,0,
Podilsky,50.492789,30.366122,10300,0,1,0,2,0,0,0,
Shevchenkivsky,50.456793,30.496864,13700,4,6,4,13,5,30,0,
Solomensky,50.416456,30.456552,11300,2,3,0,1,2,3,0,
Svatoshinsky,50.463583,30.352287,9000,2,3,4,9,4,3,0,
