RivalName,Lat,Lon
Vunakhidnyk,50.499436,30.516768
Inventor,50.393479,30.627029
Vunakhidnyk,50.459785,30.401142
RoboKids,50.44542,30.440214
Vunakhidnyk,50.427346,30.542137
Vunakhidnyk,50.405712,30.614372
Vunakhidnyk,50.522667,30.616416
Vunakhidnyk,50.453897,30.485654
FutureAcademy,50.437618,30.517527
RoboCode,50.503209,30.436768
RoboCode,50.416475,30.628854
RoboCode,50.424808,30.383558
Junior IT,50.409492,30.639624
IT Smart,50.499985,30.518987
Vunakhidnyk,50.454715,30.593143
RoboCode,50.515881,30.600423
RoboCode,50.368018,30.458312
RoboCode,50.45905,30.337626
RoboCode,50.450635,30.59414
Vunakhidnyk,50.51776,30.783281
RoboCode,50.498849,30.518109
RoboUA,50.427128,30.468348
KidBi,50.445056,30.524448
RoboCode,50.39585,30.636403
RoboCode,50.438568,30.520309
RoboUA,50.396819,30.638534
Vunakhidnyk,50.580954,30.490535
MainSchool It,50.399201,30.517312
RoboUA,50.452338,30.50738
Vunakhidnyk,50.389601,30.365679
RoboCode,50.402575,30.655381
RoboCode,50.519358,30.612988
Vunakhidnyk,50.549479,30.2311
IT Friends,50.526049,30.617973
Copper Milk,50.465008,30.515588
IT Step Kids,50.44354,30.495554
